,t,ff
186,0.23501132502831254,0.0
187,0.23626132502831254,0.0
188,0.23751132502831254,0.0
189,0.23876132502831254,0.0
190,0.24001132502831254,0.0
191,0.24126132502831255,0.0
192,0.24251132502831252,0.0
193,0.24376132502831252,0.0
194,0.24501132502831252,0.0
195,0.24626132502831252,0.0
196,0.24751132502831252,0.0
197,0.24876132502831252,0.0
198,0.2500113250283125,0.0
199,0.25126132502831255,0.0
200,0.2525113250283125,0.0
201,0.25376132502831256,0.0
202,0.25501132502831253,0.0
203,0.25626132502831256,0.0
204,0.25751132502831253,0.0
205,0.2587613250283125,0.0
206,0.26001132502831253,0.0
207,0.2612613250283125,0.0
208,0.26251132502831254,0.0
209,0.2637613250283125,0.0
210,0.26501132502831254,0.0
211,0.2662613250283125,0.0
