Af,wf,fbeat,f1,f2,fase,dfase
0.0,184.0,175.0,1469.0,1644.0,40.31796281807213,29.322883997100234
0.0,185.0,175.0,1469.0,1644.0,45.03028064120531,32.4358260120855
0.0,186.0,175.0,1469.0,1644.0,49.742598464338485,35.55151742613032
0.0,187.0,175.0,1469.0,1644.0,54.45491628747183,38.66720884017559
0.0,188.0,175.0,1469.0,1644.0,59.16723411060501,41.78290025422041
0.0,189.0,175.0,1469.0,1644.0,63.879551933738185,44.898591668265226
0.0,190.0,175.0,1469.0,1644.0,68.59186975687136,48.01428308231027
0.0,191.0,175.0,1469.0,1644.0,73.30418758000452,51.12997449635509
0.0,192.0,175.0,1469.0,1644.0,78.01650540313771,54.24566591039991
0.0,193.0,175.0,1469.0,1644.0,82.72882322627089,57.361357324444725
0.0,194.0,175.0,1469.0,1644.0,87.44114104940407,60.47704873848977
0.0,195.0,175.0,1469.0,1644.0,92.15345887253724,63.59274015253459
0.0,196.0,175.0,1469.0,1644.0,96.86577669567043,66.7084315665794
0.0,197.0,175.0,1469.0,1644.0,101.5780945188036,69.82412298062445
0.0,198.0,175.0,1469.0,1644.0,106.29041234193694,72.93981439466938
0.0,199.0,175.0,1469.0,1644.0,111.00273016507013,76.0555058087142
0.0,200.0,175.0,1469.0,1644.0,115.71504798820328,79.17119722275936
0.0,201.0,175.0,1469.0,1644.0,120.42736581133647,82.28688863680418
0.0,202.0,175.0,1469.0,1644.0,125.13968363446965,85.402580050849
0.0,203.0,175.0,1469.0,1644.0,129.85200145760282,88.51827146489404
0.0,204.0,175.0,1469.0,1644.0,134.56431928073602,91.63396287893886
0.0,205.0,175.0,1469.0,1644.0,139.2766371038692,94.74965429298368
0.0,206.0,175.0,1469.0,1644.0,143.98895492700237,97.86907961103759
0.0,207.0,175.0,1469.0,1644.0,148.70127275013553,101.00754134556166
0.0,208.0,175.0,1469.0,1644.0,153.41359057326886,104.14600308008562
0.0,209.0,175.0,1469.0,1644.0,158.12590839640205,107.28446481460946
0.0,210.0,175.0,1469.0,1644.0,162.83822621953522,110.42292654913354
0.0,211.0,175.0,1469.0,1644.0,167.55054404266838,113.56138828365738
0.0,212.0,175.0,1469.0,1644.0,172.2628618658016,116.69985001818122
0.0,213.0,175.0,1469.0,1644.0,176.97517968893476,119.8383117527053
0.0,214.0,175.0,1469.0,1644.0,181.68749751206795,122.97677348722914
0.0,215.0,175.0,1469.0,1644.0,186.3998153352011,126.11523522175298
0.0,216.0,175.0,1469.0,1644.0,191.11213315833433,129.25369695627705
0.0,217.0,175.0,1469.0,1644.0,195.82445098146746,132.3921586908009
0.0,218.0,175.0,1469.0,1644.0,200.5367688046006,135.53062042532474
0.0,219.0,175.0,1469.0,1644.0,205.249086627734,138.66908215984893
0.0,220.0,175.0,1469.0,1644.0,209.96140445086718,141.80754389437277
0.0,221.0,175.0,1469.0,1644.0,214.67372227400034,144.94600562889661
0.0,222.0,175.0,1469.0,1644.0,219.38604009713353,148.08446736342046
0.0,223.0,175.0,1469.0,1644.0,224.09835792026672,151.22292909794453
0.0,224.0,175.0,1469.0,1644.0,228.81067574339986,154.36139083246837
0.0,225.0,175.0,1469.0,1644.0,233.52299356653307,157.49985256699222
0.0,226.0,175.0,1469.0,1644.0,238.2353113896662,160.6383143015163
0.0,227.0,175.0,1469.0,1644.0,242.94762921279943,163.77677603604013
0.0,228.0,175.0,1469.0,1644.0,247.6599470359326,166.91523777056398
0.0,229.0,175.0,1469.0,1644.0,252.37226485906575,170.05369950508805
0.0,230.0,175.0,1469.0,1644.0,257.0845826821991,173.192161239612
0.0,231.0,175.0,1469.0,1644.0,261.7969005053323,176.33062297413585
0.0,232.0,175.0,1469.0,1644.0,266.5092183284654,179.46908470865992
0.0,233.0,175.0,1469.0,1644.0,271.2215361515986,182.60754644318388
0.0,234.0,175.0,1469.0,1644.0,275.93385397473185,185.74600817770772
0.0,235.0,175.0,1469.0,1644.0,280.646171797865,188.88446991223157
0.0,236.0,175.0,1469.0,1644.0,285.35848962099817,192.02293164675564
0.0,237.0,175.0,1469.0,1644.0,290.0708074441313,195.16139338127948
0.0,238.0,175.0,1469.0,1644.0,294.7831252672645,198.29985511580333
0.0,239.0,175.0,1469.0,1644.0,299.4954430903977,201.4383168503274
0.001,140.0,175.0,1469.0,1644.0,-167.03022372855082,114.1421491526171
0.001,141.0,175.0,1469.0,1644.0,-162.31808347938522,110.9827324212157
0.001,142.0,175.0,1469.0,1644.0,-157.6055151449578,107.86445217504615
0.001,143.0,175.0,1469.0,1644.0,-152.89332810489438,104.70462676101505
0.001,144.0,175.0,1469.0,1644.0,-148.18090527638412,101.58720173087465
0.001,145.0,175.0,1469.0,1644.0,-143.46861802976193,98.42633693357436
0.001,146.0,175.0,1469.0,1644.0,-138.75607579774572,95.30940858641719
0.001,147.0,175.0,1469.0,1644.0,-134.04390305924213,92.14790078670143
0.001,148.0,175.0,1469.0,1644.0,-129.3313181167405,89.03178012224703
0.001,149.0,175.0,1469.0,1644.0,-124.61916481187923,85.86958743622927
0.001,150.0,175.0,1469.0,1644.0,-119.90653586633024,82.75413207138018
0.001,151.0,175.0,1469.0,1644.0,-115.19440802122907,79.59401618783488
0.001,152.0,175.0,1469.0,1644.0,-110.48172230541132,76.48062106405666
0.001,153.0,175.0,1469.0,1644.0,-105.76962430378812,73.32326487753107
0.001,154.0,175.0,1469.0,1644.0,-101.05686827621118,70.21121323677352
0.001,155.0,175.0,1469.0,1644.0,-96.34481070396859,67.05224045364713
0.001,156.0,175.0,1469.0,1644.0,-91.6319591824311,63.941751724590176
0.001,157.0,175.0,1469.0,1644.0,-86.91995651329445,60.78085656443068
0.001,158.0,175.0,1469.0,1644.0,-82.20696150607435,57.67223539961503
0.001,159.0,175.0,1469.0,1644.0,-77.49504735278373,54.5089823265825
0.001,160.0,175.0,1469.0,1644.0,-72.78190631712809,51.40255169927485
0.001,161.0,175.0,1469.0,1644.0,-68.0700762456885,48.2363724704677
0.001,162.0,175.0,1469.0,1644.0,-63.35665561904673,45.13277283946633
0.001,163.0,175.0,1469.0,1644.0,-58.64499963755009,41.962746235879195
0.001,164.0,175.0,1469.0,1644.0,-53.93115386325501,38.86265764317284
