alfa,beta,ff,amp,f2
-0.3,-0.11262626262626263,2381.666276536363,31502.83528155145,0.0025251480357386855
-0.3,-0.10858585858585859,2371.07874029926,31496.362247134693,0.0006969396236729906
-0.3,-0.10454545454545455,2360.2929693411215,31489.68641274571,0.00014476865626200305
-0.3,-0.10050505050505051,2349.201225517015,31483.730380606026,0.0008326463740006767
-0.3,-0.09646464646464648,2337.7450411785176,31477.519022569657,0.0012814275761632086
-0.3,-0.09242424242424244,2326.4604895276393,31471.54386412784,0.003440877311311299
-0.3,-0.0883838383838384,2315.1012145748978,31465.636827435774,0.004085166382055847
-0.3,-0.08434343434343433,2303.9000760214267,31459.839903916327,0.002124796827671838
-0.3,-0.08030303030303029,2292.078627743447,31454.16962607106,0.002873013678636933
-0.3,-0.07626262626262625,2280.153025736146,31448.618434393167,3.176140447409149e-05
-0.3,-0.07222222222222222,2268.1218874278957,31443.208160780407,0.0011704334665524813
-0.3,-0.06818181818181818,2256.0102564102563,31437.923154014803,0.004284151838959029
-0.3,-0.06414141414141414,2244.29803380476,31432.77612626263,0.0022178427176343775
-0.3,-0.0601010101010101,2231.995841995842,31427.76398688865,0.0028536562756721145
-0.3,-0.05606060606060606,2219.582318134354,31422.8999709299,0.0007333629054384986
-0.3,-0.05202020202020202,2206.798951048951,31418.171545213616,0.0019964104928478403
-0.3,-0.04797979797979798,2194.1452226448873,31413.608419267563,0.002337641822464802
-0.3,-0.043939393939393945,2181.455546813533,31409.191006368907,0.001472906198025716
-0.3,-0.039898989898989906,2168.399390243903,31404.876787645844,0.0012598729224518
-0.3,-0.03585858585858587,2154.989172555277,31400.824021188324,0.004831530312305633
-0.3,-0.03181818181818183,2141.6008244589493,31396.89020235419,0.002883323896695906
-0.3,-0.02777777777777779,2128.2673722963646,31393.125308309325,0.0013100778609535992
-0.3,-0.023737373737373724,2114.6341463414637,31389.523008980897,0.0032097031944054305
-0.3,-0.019696969696969685,2100.4901388726807,31386.10472893397,0.0004697223929831343
-0.3,-0.015656565656565646,2086.616726296959,31382.87124670241,0.0024037830481659812
-0.3,-0.011616161616161608,2072.4994355384965,31379.817554338697,0.0028263977259632626
-0.3,-0.007575757575757569,2057.8332387975042,31376.886493401526,0.0014997352820374948
-0.3,-0.0035353535353535304,2043.1253189472918,31374.282589753402,0.0018764366605891793
-0.3,0.0005050505050505083,2028.31568040525,31371.812365144604,0.0013467657466349565
-0.3,0.004545454545454519,2013.1696617336152,31369.488031324956,0.00187774115032585
-0.3,0.008585858585858586,1997.830059387848,31367.475615955773,0.0015283883959724056
-0.3,0.012626262626262652,1982.3857868020305,31365.634122570424,0.0023672467806867404
-0.3,0.016666666666666663,1966.590909090909,31364.00037829129,0.002198857082316359
-0.3,0.02070707070707073,1950.6042363433667,31360.717651151703,0.00037068862569371704
-0.3,0.02474747474747474,1934.257246376811,31361.407188256235,0.003195308028859788
-0.3,0.028787878787878807,1917.6143865240153,31360.421974031542,0.001715911441086741
-0.3,0.03282828282828282,1900.7708911501693,31359.74353338095,0.0012418712681918805
-0.3,0.036868686868686884,1883.5768030195848,31359.211998631792,0.002332232373733394
-0.3,0.040909090909090895,1866.0861358956759,31358.804622386153,0.0030152169887224527
-0.3,0.04494949494949496,1848.5487974098055,31359.061566252214,0.0015928715154589692
-0.3,0.04898989898989897,1830.2486187845304,31359.156265718455,0.0001340300543960051
-0.3,0.05303030303030304,1811.6666666666667,31359.78965432558,0.0023307378424929255
-0.3,0.05707070707070705,1793.123595505618,31360.622676060135,0.0018707558560892065
