Af,wf,fbeat,f1,f2,fase,dfase,amp,erramp,gamma,a,beta,alfa
0.0,179,221.0,1400.0,1621.0,-197.59992877392855,134.09336032889223,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,180,221.0,1400.0,1621.0,-192.88761095079536,130.9638644080569,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,181,221.0,1400.0,1621.0,-188.1752931276622,127.83436848722181,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,182,221.0,1400.0,1621.0,-183.46297530452907,124.70487256638648,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,183,221.0,1400.0,1621.0,-178.75065748139585,121.57537664555116,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,184,221.0,1400.0,1621.0,-174.03833965826266,118.44588072471583,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,185,221.0,1400.0,1621.0,-169.3260218351295,115.31638480388051,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,186,221.0,1400.0,1621.0,-164.61370401199633,112.18688888304519,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,187,221.0,1400.0,1621.0,-159.90138618886297,109.05739296220975,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,188,221.0,1400.0,1621.0,-155.1890683657298,105.92789704137442,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,189,221.0,1400.0,1621.0,-150.47675054259665,102.7984011205391,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,190,221.0,1400.0,1621.0,-145.76443271946343,99.668905199704,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,191,221.0,1400.0,1621.0,-141.0521148963303,96.53940927886867,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,192,221.0,1400.0,1621.0,-136.3397970731971,93.40991335803335,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,193,221.0,1400.0,1621.0,-131.62747925006389,90.28041743719803,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,194,221.0,1400.0,1621.0,-126.91516142693075,87.1509215163627,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,195,221.0,1400.0,1621.0,-122.20284360379758,84.02328706271794,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,196,221.0,1400.0,1621.0,-117.49052578066438,80.89791826246949,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,197,221.0,1400.0,1621.0,-112.77820795753121,77.77462435852783,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,198,221.0,1400.0,1621.0,-108.06589013439786,74.65352499336905,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,199,221.0,1400.0,1621.0,-103.35357231126467,71.53242562821038,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,200,221.0,1400.0,1621.0,-98.64125448813151,68.41132626305182,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,201,221.0,1400.0,1621.0,-93.92893666499833,65.29022689789315,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,202,221.0,1400.0,1621.0,-89.21661884186516,62.16912753273448,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,203,221.0,1400.0,1621.0,-84.50430101873197,59.04802816757558,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,204,221.0,1400.0,1621.0,-79.7919831955988,55.926928802417024,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
0.0,205,221.0,1400.0,1621.0,-75.07966537246563,52.80582943725835,9.76920556920561,702.0557014851643,20000,0.0,-0.12,-0.12
